geo,B2,B3,B4,B8,point_id,start_date,end_date
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.023800000548362732,0.04479999840259552,0.01860000006854534,0.4602999985218048,0,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.07680000364780426,0.11580000072717667,0.11219999939203262,0.33000001311302185,1,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.023250000551342964,0.03889999911189079,0.02199999988079071,0.5011000037193298,2,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.05350000038743019,0.06689999997615814,0.03929999843239784,0.25690001249313354,3,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.012550000101327896,0.031449999660253525,0.014050000347197056,0.3666499853134155,4,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.08309999853372574,0.09780000150203705,0.08550000190734863,0.31165000796318054,5,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.0348999984562397,0.06080000102519989,0.0348999984562397,0.5 701000094413757,6,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.0868000015616417,0.10740000009536743,0.1177000030875206,0.29269999265670776,7,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.022199999541044235,0.04190000146627426,0.017999999225139618,0.45500001311302185,9,2017-06-01,2017-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.023250000551342964,0.03220000118017197,0.01834999956190586,0.4936000108718872,0,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.0649000033736229,0.10890000313520432,0.09920000284910202,0.3499999940395355,1,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.08184999972581863,0.11150000244379044,0.11275000125169754,0.4244999885559082,2,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.03440000116825104,0.05900000035762787,0.06469999998807907,0.20909999310970306,3,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.01510000042617321,0.03359999880194664,0.018799999728798866,0.36059999465942383,4,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.023399999365210533,0.04179999977350235,0.027899999171495438,0.2603999972343445,5,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.08760000020265579,0.12680000066757202,0.10580000281333923,0.4339999854564667,6,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.08240000158548355,0.10440000146627426,0.1137000024318695,0.2773999869823456,7,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.01899999938905239,0.030300000682473183,0.01940000057220459,0.35659998655319214,8,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.23469999432563782,0.19539999961853027,0.14190000295639038,0.4146000146865845,9,2018-06-01,2018-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.020800000056624413,0.03840000182390213,0.02085000090301037,0.3924500048160553,0,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.03139999881386757,0.05445000156760216,0.030899999663233757,0.38315001130104065,1,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.06530000269412994,0.09730000048875809,0.10920000076293945,0.3118000030517578,2,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.033250000327825546,0.05990000069141388,0.04659999907016754,0.3478499948978424,3,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.018300000578165054,0.03240000084042549,0.018050000071525574,0.3303999900817871,4,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.02329999953508377,0.037050001323223114,0.022849999368190765,0.25920000672340393,5,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.03830000013113022,0.06364999711513519,0.042399998754262924,0.4083000123500824,6,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.06310000270605087,0.08479999750852585,0.08505000174045563,0.26179999113082886,7,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.016499999910593033,0.02850000001490116,0.012900000438094139,0.3287999927997589,8,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.018799999728798866,0.03424999862909317,0.020250000059604645,0.3528999984264374,9,2019-06-01,2019-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.023250000551342964,0.03779999911785126,0.01875000074505806,0.4848000109195709,0,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.04879999905824661,0.08739999681711197,0.04194999858736992,0.4300000071525574,1,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.036400001496076584,0.050599999725818634,0.035999998450279236,0.41999998688697815,2,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.03920000046491623,0.07395000010728836,0.07900000363588333,0.35054999589920044,3,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.022600000724196434,0.03700000047683716,0.019099999219179153,0.3591499924659729,4,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.027499999850988388,0.042149998247623444,0.026200000196695328,0.2628999948501587,5,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.06629999727010727,0.09210000187158585,0.09849999845027924,0.36500000953674316,6,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.07720000296831131,0.10300000011920929,0.10520000010728836,0.313400000333786,7,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.01940000057220459,0.03970000147819519,0.015200000256299973,0.3531999886035919,8,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.02225000038743019,0.03849999979138374,0.019099999219179153,0.3971000015735626,9,2020-06-01,2020-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.02850000001490116,0.0523499995470047,0.025599999353289604,0.46540001034736633,0,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.21400000154972076,0.2467000037431717,0.24660000205039978,0.5,1,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.05130000039935112,0.10679999738931656,0.055799998342990875,0.4887999892234802,2,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.07020000368356705,0.10984999686479568,0.062049999833106995,0.4823499917984009,3,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.023600000888109207,0.046300001442432404,0.022299999371170998,0.35440000891685486,4,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.035599999129772186,0.04769999906420708,0.03500000014901161,0.2669999897480011,5,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.043800000101327896,0.061500001698732376,0.04749999940395355,0.4251999855041504,6,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.06134999915957451,0.08195000141859055,0.08004999905824661,0.2689000070095062,7,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.04500000178813934,0.05649999901652336,0.02879999950528145,0.3547999858856201,8,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.025350000709295273,0.04295000061392784,0.0215000007301569,0.38804998993873596,9,2021-06-01,2021-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.03685000166296959,0.0502999983727932,0.027899999171495438,0.47999998927116394,0,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.049400001764297485,0.06859999895095825,0.05220000073313713,0.4032000005245209,1,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.05400000140070915,0.06689999997615814,0.049800001084804535,0.5167999863624573,2,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.032249998301267624,0.05640000104904175,0.042750000953674316,0.40665000677108765,3,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.03959999978542328,0.0575999990105629,0.03220000118017197,0.3887999951839447,4,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.04039999842643738,0.05460000038146973,0.03700000047683716,0.3147999942302704,5,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.06840000301599503,0.09709999710321426,0.06809999793767929,0.4368000030517578,6,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.07199999690055847,0.08380000293254852,0.09440000355243683,0.30379998683929443,7,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.035100001841783524,0.04399999976158142,0.026100000366568565,0.3984000086784363,8,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.028850000351667404,0.04089999943971634,0.022099999710917473,0.4187999963760376,9,2022-06-01,2022-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.023399999365210533,0.04385000094771385,0.021299999207258224,0.46674999594688416,0,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.039799999445676804,0.07339999824762344,0.05660000070929527,0.4487999975681305,1,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.06599999964237213,0.11760000139474869,0.12600000202655792,0.5296000242233276,2,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.08500000089406967,0.1298000067472458,0.1598999947309494,0.4534499943256378,3,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.026000000536441803,0.04190000146627426,0.021900000050663948,0.3856000006198883,4,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.03370000049471855,0.048700001090765,0.03420000150799751,0.28859999775886536,5,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.0494999997317791,0.07280000299215317,0.06790000200271606,0.5,6,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.05779999867081642,0.0786999985575676,0.07819999754428864,0.29120001196861267,7,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.03200000151991844,0.04540000110864639,0.026100000366568565,0.40310001373291016,8,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.023399999365210533,0.039250001311302185,0.019300000742077827,0.3884499967098236,9,2023-06-01,2023-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.04960000142455101,0.06684999912977219,0.041749998927116394,0.4819999933242798,0,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.04820000007748604,0.0966000035405159,0.05584999918937683,0.4023500084877014,1,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.06960000097751617,0.10130000114440918,0.09950000047683716,0.3364500105381012,2,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.05220000073313713,0.09799999743700027,0.06459999829530716,0.39160001277923584,3,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.04924999922513962,0.06194999814033508,0.040449999272823334,0.40860000252723694,4,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.03680000081658363,0.038100000470876694,0.02199999988079071,0.25920000672340393,5,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.0908999964594841,0.12620000541210175,0.1270499974489212,0.30140000581741333,6,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.0835999995470047,0.09769999980926514,0.07779999822378159,0.2863999903202057,7,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.07904999703168869,0.08529999852180481,0.07280000299215317,0.39480000734329224,8,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.025550000369548798,0.03929999843239784,0.017999999225139618,0.4375999867916107,9,2024-06-01,2024-06-30
"{'type': 'Point', 'coordinates': [10.55596815639588, 53.653182901200395]}",0.022299999371170998,0.039000000804662704,0.019950000569224358,0.4557499885559082,0,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.412417373993579, 53.50720666753097]}",0.05869999900460243,0.08669999986886978,0.0786999985575676,0.2865000069141388,1,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.481228324757135, 53.575927786766115]}",0.03750000149011612,0.06279999762773514,0.039799999445676804,0.43320000171661377,2,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.438468517233046, 53.69477489885513]}",0.0982000008225441,0.10480000078678131,0.07800000160932541,0.49480000138282776,3,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.766623090521907, 53.62344866529604]}",0.021299999207258224,0.03739999979734421,0.020099999383091927,0.3912000060081482,4,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.796806484068323, 53.5352341043955]}",0.029200000688433647,0.04580000042915344,0.027000000700354576,0.2946000099182129,5,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.669066050666526, 53.67375432120673]}",0.04064999893307686,0.06804999709129333,0.0507499985396862,0.41200000047683716,6,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.754855160299941, 53.698727486105255]}",0.06120000034570694,0.08320000022649765,0.08449999988079071,0.27079999446868896,7,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.702932536877833, 53.526071288497484]}",0.025100000202655792,0.03269999846816063,0.023099999874830246,0.3483999967575073,8,2025-06-01,2025-06-30
"{'type': 'Point', 'coordinates': [10.654243848478554, 53.69046298549135]}",0.02484999969601631,0.038600001484155655,0.021199999377131462,0.382999986410141,9,2025-06-01,2025-06-30
